CLIENTNUM,Attrition_Flag,churn_probability,predicted_churn,risk_level,cluster,segment_name,PC1,PC2,Customer_Age,Gender,Total_Trans_Amt,Total_Trans_Ct,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio
753327333,Existing Customer,0.4152,0,Medium,0,Accelerating Growth Customers,-0.993,0.771,41,M,1028,21,4,1,13535.0,1291,0.095
806160108,Existing Customer,0.0351,0,Low,0,Accelerating Growth Customers,-1.021,3.586,61,M,1336,30,2,3,3193.0,2517,0.788
709327383,Existing Customer,0.4469,0,Medium,0,Accelerating Growth Customers,-1.656,0.021,45,F,1207,21,1,2,14470.0,1157,0.08
806165208,Existing Customer,0.065,0,Low,0,Accelerating Growth Customers,-0.881,-0.083,47,M,1178,27,2,0,20979.0,1800,0.086
708508758,Attrited Customer,0.9721,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.647,-0.493,62,F,692,16,3,3,1438.3,0,0.0
784725333,Existing Customer,0.1466,0,Low,0,Accelerating Growth Customers,-1.017,3.063,41,M,931,18,2,1,4470.0,680,0.152
811604133,Existing Customer,0.9779,1,Critical,1,High-Utilization Credit Revolvers,-2.027,-0.236,47,F,1126,23,3,2,2492.0,1560,0.626
789124683,Existing Customer,0.8814,1,Critical,0,Accelerating Growth Customers,-1.491,-0.524,54,M,1110,21,2,3,12217.0,0,0.0
771071958,Existing Customer,0.4713,0,Medium,0,Accelerating Growth Customers,-1.982,0.233,41,F,1051,22,1,2,7768.0,1669,0.215
720466383,Existing Customer,0.1991,0,Low,0,Accelerating Growth Customers,-0.959,0.582,59,M,1197,23,1,2,14784.0,1374,0.093
804424383,Existing Customer,0.2087,0,Low,0,Accelerating Growth Customers,-0.572,0.049,63,M,1904,40,3,2,10215.0,1010,0.099
718813833,Existing Customer,0.8969,1,Critical,0,Accelerating Growth Customers,-1.426,0.424,44,F,1052,18,2,2,10100.0,0,0.0
806624208,Existing Customer,0.0028,0,Low,0,Accelerating Growth Customers,-1.312,1.132,47,M,1045,38,0,0,4785.0,1362,0.285
778348233,Existing Customer,0.0219,0,Low,0,Accelerating Growth Customers,-0.855,4.572,53,M,1038,25,2,3,2753.0,1811,0.658
712991808,Existing Customer,0.423,0,Medium,0,Accelerating Growth Customers,-0.801,3.568,53,M,1596,26,5,1,2451.0,1690,0.69
709029408,Existing Customer,0.0542,0,Low,0,Accelerating Growth Customers,-0.717,3.391,41,M,1589,24,1,2,8923.0,2517,0.282
788658483,Existing Customer,0.2204,0,Low,0,Accelerating Growth Customers,-1.73,2.905,53,F,1411,28,2,3,2650.0,1490,0.562
787937058,Existing Customer,0.3862,0,Medium,2,Disengaged & Underutilized (At-Risk),-1.912,-0.956,58,M,1291,24,2,2,12555.0,1696,0.135
715318008,Existing Customer,0.2148,0,Low,1,High-Utilization Credit Revolvers,-1.368,0.126,55,F,1407,43,2,1,3520.0,1914,0.544
713962233,Existing Customer,0.0318,0,Low,0,Accelerating Growth Customers,-1.656,3.692,55,F,1877,37,2,3,3035.0,2298,0.757
785432733,Existing Customer,0.9742,1,Critical,0,Accelerating Growth Customers,-0.832,-0.404,42,F,966,22,3,3,15433.0,0,0.0
715190283,Existing Customer,0.8848,1,Critical,0,Accelerating Growth Customers,-1.306,0.616,57,F,1464,28,3,2,3672.0,886,0.241
708300483,Attrited Customer,0.9772,1,Critical,2,Disengaged & Underutilized (At-Risk),-2.502,-1.431,66,F,704,16,4,3,7882.0,605,0.077
827111283,Existing Customer,0.8345,1,Critical,2,Disengaged & Underutilized (At-Risk),-0.359,-2.042,45,M,1109,28,2,2,32426.0,578,0.018
758551608,Existing Customer,0.106,0,Low,1,High-Utilization Credit Revolvers,-1.271,0.419,51,M,1347,28,1,0,6205.0,2204,0.355
773146383,Existing Customer,0.2554,0,Medium,0,Accelerating Growth Customers,-0.463,1.014,50,F,1756,33,2,3,17304.0,2517,0.145
778493808,Existing Customer,0.2874,0,Medium,0,Accelerating Growth Customers,-1.063,1.175,49,M,1756,32,2,1,3906.0,0,0.0
720572508,Existing Customer,0.8905,1,Critical,0,Accelerating Growth Customers,-1.163,0.003,38,F,1042,23,3,3,9830.0,2055,0.209
712661433,Existing Customer,0.6847,1,High,0,Accelerating Growth Customers,-0.027,0.291,49,M,1444,28,2,3,34516.0,0,0.0
789172683,Existing Customer,0.0982,0,Low,0,Accelerating Growth Customers,-1.583,3.925,56,M,1741,27,2,0,2283.0,1430,0.626
738406533,Existing Customer,0.0234,0,Low,0,Accelerating Growth Customers,-0.703,5.84,59,M,1719,27,2,2,2548.0,2020,0.793
799723908,Existing Customer,0.6743,1,High,2,Disengaged & Underutilized (At-Risk),-1.282,-1.207,46,M,1217,27,3,3,19458.0,1435,0.074
771490833,Existing Customer,0.0439,0,Low,2,Disengaged & Underutilized (At-Risk),-1.393,-0.002,52,M,1140,40,1,1,4745.0,1227,0.259
720756708,Existing Customer,0.3139,0,Medium,0,Accelerating Growth Customers,-1.779,2.698,52,F,1878,30,3,2,2622.0,1549,0.591
779471883,Attrited Customer,0.6223,1,High,0,Accelerating Growth Customers,-1.43,1.566,54,F,705,19,3,1,1438.3,808,0.562
711525033,Existing Customer,0.0405,0,Low,0,Accelerating Growth Customers,-0.595,3.964,66,F,1946,38,4,2,3171.0,2179,0.687
712813458,Existing Customer,0.1834,0,Low,2,Disengaged & Underutilized (At-Risk),-0.868,-1.639,49,M,1414,35,2,0,19763.0,2517,0.127
714374133,Attrited Customer,0.9914,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.225,-1.795,56,M,602,15,3,3,15769.0,0,0.0
717891558,Existing Customer,0.3467,0,Medium,1,High-Utilization Credit Revolvers,-2.404,0.608,49,F,1052,32,4,2,3298.0,2200,0.667
716632758,Existing Customer,0.0988,0,Low,1,High-Utilization Credit Revolvers,-0.915,1.483,49,F,1295,40,2,0,2802.0,2363,0.843
768563658,Existing Customer,0.0901,0,Low,0,Accelerating Growth Customers,-1.301,2.133,56,M,1424,29,2,3,4458.0,1880,0.422
711427458,Existing Customer,0.1989,0,Low,0,Accelerating Growth Customers,-0.893,3.131,44,F,1359,25,1,2,6273.0,978,0.156
714091983,Existing Customer,0.5389,1,High,0,Accelerating Growth Customers,-1.787,1.21,42,M,1168,27,4,3,3336.0,1753,0.525
787584108,Existing Customer,0.1011,0,Low,1,High-Utilization Credit Revolvers,-1.728,1.092,55,M,1097,33,2,3,3436.0,2016,0.587
712030833,Attrited Customer,0.9957,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.177,-3.256,48,M,691,15,4,4,34516.0,0,0.0
711481533,Existing Customer,0.3784,0,Medium,0,Accelerating Growth Customers,-1.657,0.819,39,M,1316,28,3,3,5926.0,1251,0.211
710082708,Existing Customer,0.9232,1,Critical,2,Disengaged & Underutilized (At-Risk),-0.62,-1.18,44,M,1276,26,4,2,23957.0,2102,0.088
708155733,Existing Customer,0.6737,1,High,0,Accelerating Growth Customers,-1.189,-0.052,53,M,1289,23,2,2,14734.0,1634,0.111
788979258,Existing Customer,0.7041,1,High,2,Disengaged & Underutilized (At-Risk),-0.938,-2.831,51,M,1293,32,1,4,34516.0,1515,0.044
807986133,Existing Customer,0.2258,0,Low,2,Disengaged & Underutilized (At-Risk),-1.824,-0.52,57,M,1353,35,3,3,6584.0,1817,0.276
788730933,Existing Customer,0.7607,1,Critical,1,High-Utilization Credit Revolvers,-2.576,1.083,44,F,1132,28,3,3,2084.0,1468,0.704
711314058,Existing Customer,0.7229,1,High,0,Accelerating Growth Customers,-0.487,5.689,49,M,1670,17,2,2,1687.0,1107,0.656
717975333,Existing Customer,0.1343,0,Low,0,Accelerating Growth Customers,-1.06,1.499,50,M,837,15,2,2,25300.0,1330,0.053
715971108,Existing Customer,0.1263,0,Low,0,Accelerating Growth Customers,0.06,-0.675,51,M,1550,41,2,3,34516.0,1763,0.051
720096558,Existing Customer,0.7898,1,Critical,2,Disengaged & Underutilized (At-Risk),-2.138,-0.355,55,F,1540,36,3,3,2216.0,1034,0.467
719580033,Existing Customer,0.9022,1,Critical,1,High-Utilization Credit Revolvers,-2.332,0.239,54,M,1256,21,2,3,2910.0,2030,0.698
820582308,Existing Customer,0.4042,0,Medium,2,Disengaged & Underutilized (At-Risk),-1.444,-2.14,42,M,1394,35,2,2,22913.0,1528,0.067
789973308,Existing Customer,0.6239,1,High,0,Accelerating Growth Customers,-0.657,0.093,44,M,1341,24,3,3,24312.0,1932,0.079
712876233,Existing Customer,0.5589,1,High,2,Disengaged & Underutilized (At-Risk),-1.834,-0.263,53,M,1289,33,3,2,5272.0,1515,0.287
804595158,Existing Customer,0.2755,0,Medium,0,Accelerating Growth Customers,-1.759,1.767,44,F,1112,23,4,2,7000.0,2517,0.36
714826758,Existing Customer,0.1774,0,Low,2,Disengaged & Underutilized (At-Risk),-0.551,0.416,37,F,2339,57,4,2,7038.0,1801,0.256
779058108,Existing Customer,0.7723,1,Critical,1,High-Utilization Credit Revolvers,-2.554,0.506,49,M,1468,23,1,2,2536.0,1823,0.719
710790258,Existing Customer,0.2222,0,Low,2,Disengaged & Underutilized (At-Risk),-1.313,-2.015,47,M,1334,35,3,2,28904.0,1899,0.066
715623483,Existing Customer,0.0108,0,Low,0,Accelerating Growth Customers,-0.395,2.199,47,M,1457,41,4,0,8567.0,1695,0.198
715156383,Existing Customer,0.5831,1,High,2,Disengaged & Underutilized (At-Risk),-1.124,-1.959,44,M,1603,29,2,2,34516.0,1533,0.044
711013983,Attrited Customer,0.9976,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.86,-1.216,55,F,615,12,4,3,2158.0,0,0.0
755420433,Existing Customer,0.9585,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.391,-1.391,59,F,1068,20,3,3,10133.0,1417,0.14
794543958,Existing Customer,0.1936,0,Low,0,Accelerating Growth Customers,-0.246,0.936,53,M,1590,27,4,2,34516.0,1219,0.035
716396358,Existing Customer,0.0411,0,Low,1,High-Utilization Credit Revolvers,-1.536,1.507,52,M,1531,35,3,0,3085.0,1910,0.619
715398033,Existing Customer,0.2553,0,Medium,2,Disengaged & Underutilized (At-Risk),-0.937,-1.076,53,M,1212,31,2,1,19040.0,2056,0.108
711743883,Existing Customer,0.8946,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.849,-1.262,43,F,1237,32,2,3,4026.0,0,0.0
719720058,Existing Customer,0.9521,1,Critical,0,Accelerating Growth Customers,-0.632,3.339,44,M,1413,14,3,1,12756.0,837,0.066
778992108,Existing Customer,0.2492,0,Low,0,Accelerating Growth Customers,-1.057,2.65,57,M,1516,29,3,3,5266.0,0,0.0
717539808,Existing Customer,0.9505,1,Critical,0,Accelerating Growth Customers,-0.925,0.245,51,F,1276,21,2,2,9930.0,0,0.0
714070758,Existing Customer,0.0128,0,Low,0,Accelerating Growth Customers,0.474,1.529,49,M,1564,35,3,0,31302.0,1953,0.062
714107958,Existing Customer,0.8989,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.542,-1.387,45,M,1465,34,4,3,6576.0,0,0.0
789140283,Existing Customer,0.1726,0,Low,1,High-Utilization Credit Revolvers,-1.911,1.898,53,M,1286,29,4,1,2664.0,2037,0.765
715550508,Existing Customer,0.164,0,Low,0,Accelerating Growth Customers,-1.861,4.305,45,F,1312,20,1,2,2535.0,2440,0.963
719712633,Existing Customer,0.2132,0,Low,0,Accelerating Growth Customers,-2.009,2.435,64,M,1673,32,4,3,1709.0,895,0.524
772629333,Existing Customer,0.8085,1,Critical,2,Disengaged & Underutilized (At-Risk),-2.173,-0.826,45,M,1313,30,4,2,3454.0,1200,0.347
720336708,Existing Customer,0.083,0,Low,0,Accelerating Growth Customers,-1.497,1.003,53,M,1609,42,3,2,3789.0,1706,0.45
802013583,Existing Customer,0.6882,1,High,2,Disengaged & Underutilized (At-Risk),-1.178,-0.283,56,M,1158,19,2,0,9689.0,2250,0.232
711887583,Attrited Customer,0.9723,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.831,-1.093,47,M,836,18,3,3,5449.0,1628,0.299
714778833,Existing Customer,0.7925,1,Critical,2,Disengaged & Underutilized (At-Risk),-0.855,-0.792,49,F,1289,22,4,0,23032.0,1960,0.085
713843283,Existing Customer,0.7458,1,High,0,Accelerating Growth Customers,-1.073,-1.699,41,F,1487,26,3,3,34516.0,2053,0.059
779155158,Existing Customer,0.3538,0,Medium,2,Disengaged & Underutilized (At-Risk),-2.189,-0.098,53,M,1259,33,2,2,2940.0,1264,0.43
721091583,Existing Customer,0.9901,1,Critical,0,Accelerating Growth Customers,-1.688,2.009,44,F,1298,15,3,3,3031.0,1879,0.62
713572683,Existing Customer,0.4401,0,Medium,0,Accelerating Growth Customers,-0.802,0.329,44,M,1226,34,3,0,1862.0,0,0.0
716657058,Existing Customer,0.9463,1,Critical,2,Disengaged & Underutilized (At-Risk),-0.942,-1.109,43,F,1566,37,3,3,8358.0,926,0.111
779509983,Existing Customer,0.3975,0,Medium,0,Accelerating Growth Customers,-1.098,-1.064,53,M,1022,21,1,2,34516.0,931,0.027
717929133,Existing Customer,0.1081,0,Low,0,Accelerating Growth Customers,-1.494,0.022,44,M,1235,30,2,3,14450.0,2440,0.169
808284783,Existing Customer,0.0127,0,Low,0,Accelerating Growth Customers,-0.803,1.269,62,F,1951,44,0,0,1438.3,0,0.0
708476808,Existing Customer,0.1839,0,Low,2,Disengaged & Underutilized (At-Risk),-1.182,-1.93,54,M,1047,31,3,2,33791.0,1960,0.058
710916408,Existing Customer,0.4091,0,Medium,2,Disengaged & Underutilized (At-Risk),-1.302,-0.83,57,M,1342,32,3,0,8466.0,1886,0.223
708492558,Existing Customer,0.443,0,Medium,0,Accelerating Growth Customers,-1.32,0.835,42,M,1107,21,3,3,15088.0,865,0.057
799825758,Existing Customer,0.2544,0,Medium,1,High-Utilization Credit Revolvers,-1.964,-0.165,42,M,1251,35,1,2,3263.0,1674,0.513
718619883,Existing Customer,0.0313,0,Low,0,Accelerating Growth Customers,0.015,6.414,54,F,1305,24,2,2,1494.0,706,0.473
711844758,Existing Customer,0.0168,0,Low,0,Accelerating Growth Customers,-0.915,0.573,48,M,1388,37,1,0,13551.0,1294,0.095
714798783,Existing Customer,0.3398,0,Medium,0,Accelerating Growth Customers,-1.097,2.361,49,M,1235,18,2,2,18886.0,895,0.047
826762908,Existing Customer,0.1926,0,Low,0,Accelerating Growth Customers,-0.134,0.957,52,M,2089,36,2,0,11976.0,1273,0.106
771894558,Existing Customer,0.7561,1,Critical,0,Accelerating Growth Customers,-1.308,1.276,50,M,1626,25,1,4,9964.0,1559,0.156
721074183,Existing Customer,0.9098,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.332,-1.502,49,M,1111,24,6,3,24159.0,1196,0.05
715259583,Existing Customer,0.2372,0,Low,0,Accelerating Growth Customers,-1.049,0.651,53,F,1553,38,2,3,5362.0,1901,0.355
718414008,Existing Customer,0.9945,1,Critical,2,Disengaged & Underutilized (At-Risk),-0.864,-1.942,50,M,1064,13,2,2,34516.0,1023,0.03
719666283,Existing Customer,0.1327,0,Low,1,High-Utilization Credit Revolvers,-1.463,1.166,55,F,1243,29,1,0,3174.0,1951,0.615
714877233,Existing Customer,0.0156,0,Low,0,Accelerating Growth Customers,-0.126,2.388,53,M,1659,38,2,2,12262.0,1836,0.15
785387883,Existing Customer,0.6487,1,High,2,Disengaged & Underutilized (At-Risk),-1.547,-0.712,47,F,1594,47,3,3,3788.0,1540,0.407
771075258,Existing Customer,0.6892,1,High,2,Disengaged & Underutilized (At-Risk),-0.185,-3.21,55,M,1268,42,3,2,34516.0,1527,0.044
711318033,Existing Customer,0.8949,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.512,-0.308,47,M,1304,24,2,2,2926.0,0,0.0
783554958,Existing Customer,0.5102,1,High,2,Disengaged & Underutilized (At-Risk),-0.994,-2.366,58,M,1368,30,1,0,32090.0,0,0.0
720201033,Attrited Customer,0.6585,1,High,2,Disengaged & Underutilized (At-Risk),-1.625,-1.557,53,M,720,23,3,2,11669.0,2227,0.191
718039683,Existing Customer,0.2004,0,Low,0,Accelerating Growth Customers,-0.51,0.727,52,M,1521,29,1,2,13532.0,1300,0.096
710806083,Existing Customer,0.3889,0,Medium,2,Disengaged & Underutilized (At-Risk),-1.297,-0.511,50,F,1137,30,2,2,11888.0,2090,0.176
714752208,Existing Customer,0.6195,1,High,1,High-Utilization Credit Revolvers,-2.417,1.583,42,F,978,16,1,2,2393.0,1985,0.83
822063408,Existing Customer,0.1667,0,Low,0,Accelerating Growth Customers,-1.362,2.925,43,M,1221,16,1,2,6111.0,2517,0.412
714490308,Existing Customer,0.2853,0,Medium,0,Accelerating Growth Customers,-0.433,0.946,57,M,1565,28,2,3,19270.0,1662,0.086
713356833,Existing Customer,0.1108,0,Low,0,Accelerating Growth Customers,-1.427,1.951,52,M,1578,34,1,4,3710.0,2517,0.678
711402333,Existing Customer,0.7137,1,High,2,Disengaged & Underutilized (At-Risk),-0.991,0.042,47,M,1493,32,1,3,3235.0,797,0.246
708296883,Existing Customer,0.3948,0,Medium,0,Accelerating Growth Customers,-0.642,-0.044,44,F,1178,27,1,0,11749.0,788,0.067
719154483,Existing Customer,0.2705,0,Medium,2,Disengaged & Underutilized (At-Risk),-1.847,0.053,53,M,991,26,3,2,7753.0,2100,0.271
717721458,Existing Customer,0.0152,0,Low,0,Accelerating Growth Customers,-0.124,2.62,45,M,2560,42,1,0,10408.0,1186,0.114
711112683,Existing Customer,0.2264,0,Low,0,Accelerating Growth Customers,-1.776,2.1,63,F,1657,29,2,3,3967.0,1568,0.395
715674483,Existing Customer,0.9124,1,Critical,0,Accelerating Growth Customers,-1.79,0.554,39,F,1204,19,2,2,6205.0,2517,0.406
789322833,Attrited Customer,0.9863,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.203,-1.205,48,F,673,18,3,3,8025.0,0,0.0
789968058,Existing Customer,0.8555,1,Critical,2,Disengaged & Underutilized (At-Risk),-2.407,-0.669,51,M,1131,18,2,3,9036.0,2327,0.258
709919283,Existing Customer,0.289,0,Medium,0,Accelerating Growth Customers,-0.155,2.727,54,M,1576,25,3,2,14926.0,2517,0.169
718744008,Existing Customer,0.9877,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.725,-1.231,59,F,1217,20,2,3,6335.0,1128,0.178
767712558,Attrited Customer,0.9853,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.371,-1.101,59,M,530,10,3,3,14979.0,0,0.0
712950783,Attrited Customer,0.9925,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.926,-1.202,48,F,739,16,2,3,2732.0,0,0.0
716104983,Existing Customer,0.0052,0,Low,0,Accelerating Growth Customers,-1.151,6.427,41,F,1617,31,3,2,2250.0,2117,0.941
818839983,Existing Customer,0.0527,0,Low,0,Accelerating Growth Customers,-0.309,1.354,55,M,1592,34,2,0,10916.0,1536,0.141
772288758,Existing Customer,0.2716,0,Medium,0,Accelerating Growth Customers,-1.26,0.902,47,F,1343,30,1,3,5349.0,1228,0.23
712350858,Existing Customer,0.2313,0,Low,2,Disengaged & Underutilized (At-Risk),-1.269,-1.053,41,M,1303,39,1,3,9366.0,1104,0.118
711009708,Existing Customer,0.8741,1,Critical,0,Accelerating Growth Customers,-1.058,-0.875,40,M,1351,22,1,0,21617.0,0,0.0
712720158,Existing Customer,0.0252,0,Low,0,Accelerating Growth Customers,-0.674,2.26,68,M,1910,32,2,3,13860.0,1652,0.119
712215258,Existing Customer,0.9948,1,Critical,2,Disengaged & Underutilized (At-Risk),-0.963,-1.666,50,F,1298,22,2,3,18386.0,0,0.0
773827008,Existing Customer,0.1042,0,Low,1,High-Utilization Credit Revolvers,-2.097,1.553,47,M,1087,29,2,2,2405.0,1540,0.64
795232683,Existing Customer,0.2011,0,Low,0,Accelerating Growth Customers,-1.207,3.922,53,F,1439,26,2,3,2154.0,930,0.432
713786508,Existing Customer,0.9516,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.445,-0.559,42,F,1238,28,3,3,2038.0,0,0.0
713539833,Existing Customer,0.7807,1,Critical,0,Accelerating Growth Customers,-1.572,0.578,48,F,1716,29,1,3,8135.0,0,0.0
712454058,Existing Customer,0.4132,0,Medium,2,Disengaged & Underutilized (At-Risk),-1.956,-0.817,49,M,1099,27,1,3,9364.0,618,0.066
718759833,Existing Customer,0.099,0,Low,0,Accelerating Growth Customers,0.101,2.057,44,F,1058,24,3,2,32643.0,0,0.0
718803333,Existing Customer,0.6334,1,High,1,High-Utilization Credit Revolvers,-1.158,1.23,43,F,1285,29,3,1,3195.0,1954,0.612
720253908,Existing Customer,0.2332,0,Low,0,Accelerating Growth Customers,-1.457,1.594,56,M,1651,28,2,1,2852.0,1024,0.359
714133158,Existing Customer,0.7839,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.213,0.171,59,F,1152,31,3,3,4224.0,1305,0.309
713187033,Existing Customer,0.0068,0,Low,0,Accelerating Growth Customers,0.366,2.452,46,M,1767,38,2,2,20459.0,2071,0.101
714791208,Existing Customer,0.9614,1,Critical,2,Disengaged & Underutilized (At-Risk),-2.996,-0.774,47,F,1039,24,5,3,3482.0,2114,0.607
772426383,Existing Customer,0.1608,0,Low,0,Accelerating Growth Customers,-1.744,2.234,50,F,1130,28,2,3,3065.0,1570,0.512
710975883,Existing Customer,0.7873,1,Critical,1,High-Utilization Credit Revolvers,-1.679,0.678,51,F,1645,30,1,2,2185.0,1761,0.806
714264408,Existing Customer,0.3058,0,Medium,0,Accelerating Growth Customers,-1.282,1.512,47,F,1413,29,1,0,1611.0,746,0.463
715827858,Existing Customer,0.1226,0,Low,0,Accelerating Growth Customers,-1.013,5.013,58,F,1218,23,3,3,2822.0,2173,0.77
713741358,Attrited Customer,0.5813,1,High,2,Disengaged & Underutilized (At-Risk),-1.855,-2.301,46,M,597,17,3,3,32975.0,2517,0.076
709531908,Existing Customer,0.0796,0,Low,2,Disengaged & Underutilized (At-Risk),-0.863,0.154,53,M,2184,53,2,2,1438.3,0,0.0
716493408,Existing Customer,0.2733,0,Medium,0,Accelerating Growth Customers,-0.705,0.504,45,F,1592,37,3,3,15875.0,1719,0.108
714141108,Existing Customer,0.7716,1,Critical,2,Disengaged & Underutilized (At-Risk),-2.115,-0.739,52,F,1388,28,3,3,6703.0,893,0.133
708953883,Attrited Customer,0.9409,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.396,-1.33,53,M,757,20,2,1,3212.0,0,0.0
712608783,Existing Customer,0.3903,0,Medium,2,Disengaged & Underutilized (At-Risk),-0.369,-2.341,50,M,1504,34,1,3,34516.0,1260,0.037
820353558,Existing Customer,0.5544,1,High,2,Disengaged & Underutilized (At-Risk),-1.27,-0.995,41,F,1503,34,1,2,9797.0,1434,0.146
714964758,Existing Customer,0.3423,0,Medium,0,Accelerating Growth Customers,-1.542,-0.043,45,F,1105,28,2,2,10400.0,1777,0.171
716264358,Existing Customer,0.0676,0,Low,0,Accelerating Growth Customers,0.557,0.013,53,M,2398,47,1,2,26792.0,1836,0.069
717296808,Existing Customer,0.049,0,Low,0,Accelerating Growth Customers,-1.322,4.077,67,F,1661,32,3,2,3006.0,2517,0.837
712977183,Existing Customer,0.6229,1,High,0,Accelerating Growth Customers,-1.055,0.518,57,F,1421,22,3,0,19482.0,1072,0.055
710829108,Existing Customer,0.8439,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.998,-1.017,59,F,999,28,2,3,3356.0,985,0.294
779562633,Existing Customer,0.6943,1,High,0,Accelerating Growth Customers,-1.15,2.299,45,M,1387,18,2,1,5771.0,2248,0.39
715315833,Existing Customer,0.2925,0,Medium,0,Accelerating Growth Customers,-1.882,0.317,51,M,1243,24,2,3,11106.0,2107,0.19
815500983,Existing Customer,0.0371,0,Low,0,Accelerating Growth Customers,-1.218,3.023,59,F,1860,36,3,0,2890.0,2001,0.692
719360583,Existing Customer,0.1425,0,Low,0,Accelerating Growth Customers,-1.931,1.761,53,M,1502,25,2,2,3380.0,1701,0.503
709701558,Existing Customer,0.0169,0,Low,0,Accelerating Growth Customers,0.31,-0.163,47,M,1460,50,1,2,21331.0,1251,0.059
721148358,Existing Customer,0.924,1,Critical,2,Disengaged & Underutilized (At-Risk),-1.782,-1.618,49,F,1348,27,2,1,12860.0,0,0.0
779862408,Existing Customer,0.118,0,Low,0,Accelerating Growth Customers,-0.521,1.146,49,M,1087,33,1,0,6278.0,462,0.074
812627208,Existing Customer,0.4325,0,Medium,1,High-Utilization Credit Revolvers,-2.051,0.482,60,F,1226,33,1,3,1438.3,738,0.513
711033408,Existing Customer,0.2499,0,Low,2,Disengaged & Underutilized (At-Risk),-1.513,-0.062,50,F,1230,28,1,2,9355.0,1626,0.174
779956608,Existing Customer,0.6548,1,High,2,Disengaged & Underutilized (At-Risk),-1.449,-1.524,41,F,1555,32,1,3,20758.0,0,0.0
780376683,Existing Customer,0.009,0,Low,0,Accelerating Growth Customers,0.054,5.477,57,M,1827,24,3,1,14612.0,1976,0.135
